City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
287,dandong,23,CN,1578203961,47,40.12,124.37,33.13,4.45
288,ormara,26,PK,1578203961,67,25.21,64.64,73.35,4.32
289,atasu,60,KZ,1578203961,94,48.68,71.64,22.01,4.61
290,port-gentil,75,GA,1578203961,100,-0.72,8.78,78.8,2.24
291,broken hill,78,AU,1578203962,19,-31.97,141.45,75.2,27.51
292,hasaki,20,JP,1578203962,36,35.73,140.83,48.99,13.87
293,fort nelson,20,CA,1578203962,75,58.81,-122.69,-16.6,3.36
294,lewistown,1,US,1578203785,100,40.39,-90.15,26.01,3.36
295,ballina,99,IE,1578203963,94,54.11,-9.15,50.0,8.01
296,villamontes,70,BO,1578203963,54,-21.26,-63.47,73.58,2.77
297,lorengau,96,PG,1578203963,79,-2.02,147.27,82.74,15.55
298,necochea,67,AR,1578203807,95,-38.55,-58.74,64.38,9.91
299,vondrozo,1,MG,1578203964,74,-22.82,47.32,80.65,4.27
300,lasa,75,CY,1578203964,87,34.92,32.53,50.0,3.36
301,pringsewu,86,ID,1578203965,81,-5.36,104.98,83.19,1.05
302,buturugeni,100,RO,1578203965,80,44.37,25.84,35.01,3.36
303,carnarvon,8,ZA,1578203965,49,-30.97,22.13,71.24,4.63
304,san francisco,100,CO,1578203965,93,1.17,-76.88,49.8,6.8
305,biak,100,ID,1578203965,83,-0.91,122.88,78.71,9.44
306,sisimiut,100,GL,1578203966,95,66.94,-53.67,6.46,3.94
307,klyuchi,99,RU,1578203966,85,52.25,79.17,22.64,11.56
308,avarua,14,CK,1578203966,83,-21.21,-159.78,80.6,1.12
309,soto la marina,0,MX,1578203966,63,23.77,-98.21,55.04,3.04
310,praia,100,BR,1578203967,98,-20.25,-43.81,65.53,2.89
311,waipawa,100,NZ,1578203967,68,-39.94,176.59,63.0,14
312,byron bay,0,AU,1578203967,61,-28.65,153.62,98.6,17.22
313,tiksi,66,RU,1578203967,88,71.64,128.87,-21.08,9.24
314,adrar,3,DZ,1578203968,43,27.87,-0.29,33.8,8.05
315,kodinsk,63,RU,1578203968,90,58.6,99.18,13.05,9.33
316,mapiripan,55,CO,1578203968,81,2.89,-72.13,71.53,3.65
317,wanning,20,AT,1578203968,92,48.64,13.53,35.01,8.05
318,cabras,47,CO,1578203968,95,5.5,-75.6,55.0,2.71
319,nacala,89,MZ,1578203969,79,-14.56,40.69,79.93,2.37
320,sistranda,75,NO,1578203969,80,63.73,8.83,37.99,13.87
321,faanui,83,PF,1578203969,78,-16.48,-151.75,81.32,11.07
322,burgeo,29,CA,1578203969,81,47.61,-57.61,28.99,2.75
323,fortuna,40,US,1578203970,93,40.6,-124.16,45.0,2.13
324,rangpur,11,BD,1578203970,46,25.76,89.24,71.2,7.85
325,bataipora,22,BR,1578203970,96,-22.3,-53.27,68.77,2.62
326,padang,35,ID,1578203971,62,-0.92,100.36,83.73,1.97
327,tuy hoa,100,VN,1578203971,72,13.08,109.3,76.26,15.75
328,gat,2,SN,1578203971,37,14.69,-16.54,66.2,11.41
329,kadoma,75,JP,1578203971,45,34.73,135.6,50.0,20.8
330,ambovombe,5,MG,1578203971,56,-25.18,46.09,84.13,8.95
331,krasnovishersk,100,RU,1578203972,94,60.4,57.08,25.45,9.17
332,sorland,100,NO,1578203972,72,67.67,12.69,34.93,24.81
333,nuuk,100,GL,1578203972,85,64.17,-51.74,21.2,2.24
334,tagusao,85,PH,1578203972,72,9.19,117.81,81.64,14.58
335,renala khurd,99,PK,1578203973,32,30.88,73.6,63.39,4.05
336,vila velha,20,BR,1578203973,78,-3.71,-38.6,86.0,4.7
337,saint-pierre,77,FR,1578203973,100,48.95,4.24,35.6,2.24
338,basar,75,IN,1578203973,93,27.98,94.69,62.6,3.36
339,mecca,94,SA,1578203778,54,21.43,39.83,61.36,9.8
340,bay roberts,75,CA,1578203974,92,47.58,-53.28,30.99,5.82
341,pevek,0,RU,1578203974,67,69.7,170.27,-5.69,3.67
342,almaznyy,40,RU,1578203974,92,48.03,40.04,26.6,11.18
343,yerofey pavlovich,21,RU,1578203974,92,53.97,121.97,5.07,2.64
344,rumonge,67,BI,1578203975,78,-3.97,29.44,71.64,1.21
345,ust-omchug,72,RU,1578203975,99,61.13,149.63,-5.91,3.74
346,tefe,80,BR,1578203975,79,-3.35,-64.71,74.35,1.32
347,kirakira,59,SB,1578203975,74,-10.46,161.92,82.9,8.39
348,matay,0,EG,1578203975,61,28.42,30.79,43.2,3.83
349,vestmanna,100,FO,1578203976,93,62.16,-7.17,46.4,3.36
350,caravelas,100,BR,1578203976,91,-17.73,-39.27,74.86,10.56
351,santa isabel,1,MX,1578203976,57,32.63,-115.58,53.6,3.36
352,huarmey,100,PE,1578203976,75,-10.07,-78.15,70.23,2.37
353,guayaramerin,99,BO,1578203977,99,-10.82,-65.36,71.92,3.06
354,tabas,47,IR,1578203977,87,33.6,56.92,46.4,2.24
355,sabang,37,PH,1578203977,71,13.8,121.11,82.0,11.01
356,beppu,20,JP,1578203977,43,33.3,131.49,51.8,11.41
357,buala,100,SB,1578203978,79,-8.15,159.59,83.61,10.58
358,yongan,100,CN,1578203978,83,39.7,113.69,23.67,5.84
359,toora-khem,99,RU,1578203978,84,52.47,96.11,7.75,2.39
360,opava,82,CZ,1578203978,69,49.94,17.9,34.0,14.99
361,ardakan,0,IR,1578203978,93,32.31,54.02,41.0,4.7
362,mahebourg,75,MU,1578203979,88,-20.41,57.7,78.01,4.79
363,aksarka,29,RU,1578203979,77,66.56,67.8,21.25,21.99
364,myasnikyan,75,AM,1578203979,92,40.18,43.92,28.4,3
365,santa cruz de tenerife,90,ES,1578203979,93,28.47,-16.25,62.6,3.36
366,haines junction,36,CA,1578203979,98,60.75,-137.51,-16.19,2.86
367,bure,20,NG,1578203980,44,10.52,10.33,55.49,6.22
368,fukuma,75,JP,1578203980,47,33.77,130.47,55.99,8.05
369,pyinmana,32,MM,1578203980,38,19.74,96.21,88.92,6.31
370,flinders,90,AU,1578203980,100,-34.58,150.85,72.0,13.87
371,hamilton,90,CA,1578203857,86,43.26,-79.87,34.0,10.29
372,aripuana,99,BR,1578203981,99,-9.17,-60.63,71.96,3.38
373,neuquen,3,AR,1578203724,22,-38.95,-68.06,75.2,12.75
374,dutse,21,NG,1578203981,32,11.76,9.34,53.26,7.72
375,trairi,81,BR,1578203925,92,-3.28,-39.27,73.65,2.73
376,biloela,89,AU,1578203982,32,-24.4,150.51,92.08,16.82
377,sangin,100,AF,1578203982,90,32.07,64.85,45.9,3.04
378,yar-sale,31,RU,1578203982,79,66.83,70.83,21.78,21.14
379,fairbanks,90,US,1578203969,74,64.84,-147.72,-16.01,1.36
380,shestakovo,100,RU,1578203983,86,56.49,103.96,17.92,8.23
381,jalu,8,LY,1578203983,82,29.03,21.55,49.17,8.12
382,agirish,100,RU,1578203983,96,61.92,63.02,27.57,8.23
383,maldonado,0,UY,1578203983,77,-34.91,-54.96,68.0,5.82
384,yatou,40,CM,1578203984,94,3.63,9.81,77.0,1.12
385,arraial do cabo,100,BR,1578203984,88,-22.97,-42.02,75.25,11.14
386,katobu,100,ID,1578203984,65,-4.94,122.53,87.75,5.73
387,riom,90,FR,1578203984,86,45.89,3.11,37.99,2.24
388,port keats,97,AU,1578203985,73,-14.25,129.55,85.28,9.42
389,iranshahr,13,IR,1578203985,56,27.21,60.69,68.0,4.7
